model,fold,mae,rmse,r2,best_params,spearman,best_params_full_data
Ridge,92,1.0622433947279266,1.4688176483654038,0.22979630069876777,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
Ridge,93,1.4414427592866568,1.4821327077326631,-0.26864396896460296,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 100.0}",,
Ridge,94,1.254753886300387,1.4831087257599018,0.007974031197213849,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 100.0}",,
Ridge,95,1.6219070806050342,2.028087315952702,0.1623309259258382,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 0.1}",,
Ridge,96,1.9916426639869527,2.4807451010858945,-0.030569896216549264,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 0.1}",,
Ridge,97,1.653134898982175,1.8608213430013398,0.12113715741176478,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,98,0.7285509936873035,0.9000878498970143,0.39573671978006864,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,99,1.9289082914999398,2.0313832898501665,-7.029981109738893,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,100,1.6833673138187042,1.837430153653917,-0.5939991677834802,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__alpha': 10.0}",,
Ridge,OOF_SUMMARY,1.6112000792131118,1.9137187371233613,-0.044493103884720275,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",0.14552785923753664,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}"
ElasticNet,1,2.477490056748915,2.9489671717583987,-0.9321416751853904,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__l1_ratio': 0.8, 'model__alpha': 0.1}",,
ElasticNet,2,0.8811444868666648,1.1539351623130998,0.4174603565624978,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.8, 'model__alpha': 0.01}",,
ElasticNet,3,0.8322333372486884,0.9277683450022903,0.42831618394765925,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
ElasticNet,4,1.9802435897435897,2.127457985548982,-6.48467278796582,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__l1_ratio': 0.8, 'model__alpha': 1.0}",,
ElasticNet,5,1.9431334483393037,2.1566155975861623,-0.04538262356872402,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
ElasticNet,6,1.5915757891777083,1.782579970754259,0.20936633656727766,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
ElasticNet,7,1.2456843093402397,1.3603795917749546,-0.007699224566563023,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
ElasticNet,8,1.3664944957099934,1.4906752509172567,-1.4434441509143086,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
ElasticNet,9,0.9651619506601251,1.437529163119881,0.007385106569979594,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.8, 'model__alpha': 0.01}",,
ElasticNet,10,2.052117032109266,2.6496941265420624,-0.08409464932890298,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
ElasticNet,11,1.8224057142857137,1.9448617603756384,-0.26423307524658957,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__l1_ratio': 0.8, 'model__alpha': 1.0}",,
ElasticNet,12,1.5783461038994953,1.8841936692325905,-1.646831406889321,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.8, 'model__alpha': 0.1}",,
ElasticNet,13,0.6725237301887766,0.7786199315246695,0.6181789873563535,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
ElasticNet,14,1.480104947364084,2.0165721553372626,0.3811893532115559,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.8, 'model__alpha': 0.1}",,
ElasticNet,15,2.223248426301308,2.353061286945288,-3.606475700116465,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.8, 'model__alpha': 0.1}",,
ElasticNet,16,1.1097898567890114,1.3029652014638777,0.02458454896412199,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
